"Source","Year","Anomaly1y","Anomaly5y","Anomaly10y","Unc10y"
"CRUTEM3",1989,0.2913,NA,0.324,NA
"CRUTEM3",1990,0.5233,NA,0.3716,NA
"CRUTEM3",1991,0.4353,NA,0.3803,NA
"CRUTEM3",1992,0.1843,NA,0.3979,NA
"CRUTEM3",1993,0.2673,NA,0.4451,NA
"CRUTEM3",1994,0.4253,NA,0.4741,NA
"CRUTEM3",1995,0.5603,NA,0.4671,NA
"CRUTEM3",1996,0.2963,NA,0.488,NA
"CRUTEM3",1997,0.5553,NA,0.5452,NA
"CRUTEM3",1998,0.9123,NA,0.5923,NA
"CRUTEM3",1999,0.5813,NA,0.6201,NA
"CRUTEM3",2000,0.4533,NA,0.648,NA
"CRUTEM3",2001,0.6443,NA,0.6945,NA
"CRUTEM3",2002,0.7563,NA,0.716,NA
"CRUTEM3",2003,0.7383,NA,0.6868,NA
"CRUTEM3",2004,0.7033,NA,0.7021,NA
"CRUTEM3",2005,0.8393,NA,0.737,NA
"CRUTEM3",2006,0.7613,NA,0.7345,NA
"CRUTEM3",2007,0.7703,NA,NA,NA
"CRUTEM3",2008,0.6203,NA,NA,NA
"CRUTEM3",2009,0.7343,NA,NA,NA
"CRUTEM3",2010,0.8023,NA,NA,NA
"CRUTEM3",2011,0.6193,NA,NA,NA
